IncidntNum,Category,Date
56,STOLEN PROPERTY,07/2009
667,VANDALISM,07/2009
435,VEHICLE THEFT,07/2009
18,ARSON,08/2009
453,BURGLARY,08/2009
2499,LARCENY/THEFT,08/2009
54,STOLEN PROPERTY,08/2009
702,VANDALISM,08/2009
488,VEHICLE THEFT,08/2009
18,ARSON,09/2009
413,BURGLARY,09/2009
2295,LARCENY/THEFT,09/2009
61,STOLEN PROPERTY,09/2009
684,VANDALISM,09/2009
433,VEHICLE THEFT,09/2009
14,ARSON,10/2009
428,BURGLARY,10/2009
2226,LARCENY/THEFT,10/2009
59,STOLEN PROPERTY,10/2009
742,VANDALISM,10/2009
414,VEHICLE THEFT,10/2009
25,ARSON,11/2009
437,BURGLARY,11/2009
2143,LARCENY/THEFT,11/2009
53,STOLEN PROPERTY,11/2009
674,VANDALISM,11/2009
434,VEHICLE THEFT,11/2009
13,ARSON,12/2009
475,BURGLARY,12/2009
2147,LARCENY/THEFT,12/2009
56,STOLEN PROPERTY,12/2009
677,VANDALISM,12/2009
374,VEHICLE THEFT,12/2009
19,ARSON,01/2010
420,BURGLARY,01/2010
2088,LARCENY/THEFT,01/2010
61,STOLEN PROPERTY,01/2010
694,VANDALISM,01/2010
366,VEHICLE THEFT,01/2010
9,ARSON,02/2010
372,BURGLARY,02/2010
1683,LARCENY/THEFT,02/2010
49,STOLEN PROPERTY,02/2010
577,VANDALISM,02/2010
363,VEHICLE THEFT,02/2010
18,ARSON,03/2010
399,BURGLARY,03/2010
1901,LARCENY/THEFT,03/2010
52,STOLEN PROPERTY,03/2010
591,VANDALISM,03/2010
351,VEHICLE THEFT,03/2010
15,ARSON,04/2010
434,BURGLARY,04/2010
1774,LARCENY/THEFT,04/2010
56,STOLEN PROPERTY,04/2010
659,VANDALISM,04/2010
325,VEHICLE THEFT,04/2010
20,ARSON,05/2010
492,BURGLARY,05/2010
1920,LARCENY/THEFT,05/2010
59,STOLEN PROPERTY,05/2010
700,VANDALISM,05/2010
271,VEHICLE THEFT,05/2010
22,ARSON,06/2010
456,BURGLARY,06/2010
1944,LARCENY/THEFT,06/2010
55,STOLEN PROPERTY,06/2010
702,VANDALISM,06/2010
366,VEHICLE THEFT,06/2010
18,ARSON,07/2010
429,BURGLARY,07/2010
2103,LARCENY/THEFT,07/2010
48,STOLEN PROPERTY,07/2010
641,VANDALISM,07/2010
386,VEHICLE THEFT,07/2010
21,ARSON,08/2010
400,BURGLARY,08/2010
2271,LARCENY/THEFT,08/2010
64,STOLEN PROPERTY,08/2010
681,VANDALISM,08/2010
380,VEHICLE THEFT,08/2010
19,ARSON,09/2010
384,BURGLARY,09/2010
2158,LARCENY/THEFT,09/2010
44,STOLEN PROPERTY,09/2010
664,VANDALISM,09/2010
403,VEHICLE THEFT,09/2010
20,ARSON,10/2010
391,BURGLARY,10/2010
2117,LARCENY/THEFT,10/2010
55,STOLEN PROPERTY,10/2010
656,VANDALISM,10/2010
357,VEHICLE THEFT,10/2010
17,ARSON,11/2010
380,BURGLARY,11/2010
2155,LARCENY/THEFT,11/2010
56,STOLEN PROPERTY,11/2010
612,VANDALISM,11/2010
396,VEHICLE THEFT,11/2010
6,ARSON,12/2010
385,BURGLARY,12/2010
2098,LARCENY/THEFT,12/2010
50,STOLEN PROPERTY,12/2010
566,VANDALISM,12/2010
372,VEHICLE THEFT,12/2010
24,ARSON,01/2011
435,BURGLARY,01/2011
2075,LARCENY/THEFT,01/2011
73,STOLEN PROPERTY,01/2011
650,VANDALISM,01/2011
334,VEHICLE THEFT,01/2011
16,ARSON,02/2011
309,BURGLARY,02/2011
1900,LARCENY/THEFT,02/2011
57,STOLEN PROPERTY,02/2011
575,VANDALISM,02/2011
311,VEHICLE THEFT,02/2011
11,ARSON,03/2011
370,BURGLARY,03/2011
2235,LARCENY/THEFT,03/2011
54,STOLEN PROPERTY,03/2011
664,VANDALISM,03/2011
460,VEHICLE THEFT,03/2011
21,ARSON,04/2011
372,BURGLARY,04/2011
2016,LARCENY/THEFT,04/2011
53,STOLEN PROPERTY,04/2011
653,VANDALISM,04/2011
359,VEHICLE THEFT,04/2011
11,ARSON,05/2011
395,BURGLARY,05/2011
2191,LARCENY/THEFT,05/2011
64,STOLEN PROPERTY,05/2011
578,VANDALISM,05/2011
374,VEHICLE THEFT,05/2011
13,ARSON,06/2011
389,BURGLARY,06/2011
